IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2a06:98c1:3101:68:deb3:a76e:1e2e:8ef5,4,4,0.00,51.77,21.08
2a06:98c1:3101:68:deb3:f1bb:2220:1e6f,4,4,0.00,51.52,17.45
2a06:98c1:3101:68:deb3:f1a3:614e:556d,4,4,0.00,51.59,15.79
2a06:98c1:3101:68:afd0:8242:c341:285a,4,4,0.00,51.37,0.00
2a06:98c1:3101:68:deb3:f1e4:5f3b:dff3,4,4,0.00,51.40,0.00
2a06:98c1:3101:68:afd0:8242:1087:20e6,4,4,0.00,51.58,0.00
2a06:98c1:3101:68:afd0:e7e9:b04e:92eb,4,4,0.00,51.65,0.00
2a06:98c1:3101:68:afd0:e7e9:b0af:aad4,4,4,0.00,51.65,0.00
2a06:98c1:3101:68:deb3:f115:5ec4:983f,4,4,0.00,51.69,0.00
2a06:98c1:3101:68:afd0:e70d:f220:2766,4,4,0.00,51.79,0.00
